url,domain,score_total_v2,inclusion,notas,ruido,confianza,sector,entidad
http://000o8dc.wcomhost.com/www.santanderbanco.es/bancosantander/es/particulares/santander,000o8dc.wcomhost.com,14,1,"banca | santander | Login | marca_en_path;spanish_token | score=14, signals=spanish_brand:santander;spanish_token:banco;spanish_token:particulares;spanish_m | confianza=90 (ruido=10%)",10,90,Banca,Santander
http://044088d.wcomhost.com/www.santanader.es/banco/particulier/santander/santa,044088d.wcomhost.com,13,1,"banca | santander | Login | marca_en_path;spanish_token | score=13, signals=spanish_brand:santander;spanish_token:banco;spanish_marker:.es;brand_and_spanish | confianza=90 (ruido=10%)",10,90,Banca,Santander
http://0c4d4e6.wcomhost.com/banco-santander/particulares/iogin/home/sms_codigo.php,0c4d4e6.wcomhost.com,16,1,"banca | santander | Verificación | marca_en_path;spanish_token | score=16, signals=spanish_brand:santander;spanish_token:banco;spanish_token:particulares;spanish_t | confianza=90 (ruido=10%)",10,90,Banca,Santander
http://122.114.173.242:30/bancosantander.es/particulares.php,122.114.173.242:30,12,1,"banca | santander | Login | marca_en_path;spanish_token | score=12, signals=spanish_brand:santander;spanish_token:banco;spanish_token:particulares;spanish_m | confianza=90 (ruido=10%)",10,90,Banca,Santander
http://alertanotificacionesdinamicos.com/verificacion/estado/ingreso/proceso/estimado/sucarsal/index.php,alertanotificacionesdinamicos.com,14,1,"general | generico | Verificación | marca_en_path;spanish_token | score=14, signals=spanish_brand:ing;spanish_token:verificacion;spanish_token:notificacion;spanish_ | confianza=90 (ruido=10%)",10,90,Genérico,Generico
http://bbvaspaing.temp.swtest.ru/bbva21/bbva/area_cliente/smsconfirmacion.html,bbvaspaing.temp.swtest.ru,13,1,"banca | bbva | Confirmación | marca_en_path;spanish_token | score=13, signals=spanish_brand:bbva;spanish_brand:ing;spanish_token:cliente;spanish_token:confirm | confianza=90 (ruido=10%)",10,90,Banca,BBVA
http://correos.es-es-es-herramientas-localizador-envios.u962745a2w.ha005.t.justns.ru/71da2eb1bb4778f/sms/index.html,correos.es-es-es-herramientas-localizador-envios.u962745a2w.ha005.t.justns.ru,14,1,"logistica | correos | Smishing paquete | marca_en_path;spanish_token | score=14, signals=spanish_brand:correos;spanish_token:envio;spanish_token:sms;spanish_marker:.es;b | confianza=90 (ruido=10%)",10,90,Logística,Correos
http://correos-esxpress.tempurl.host/correos-esxpress.tempurl.host/es/recibir_paquete.php,correos-esxpress.tempurl.host,15,1,"logustuca | correos | Smishing paquete | marca_en_path;spanish_token | score=15, signals=spanish_brand:correos;spanish_token:paquete;spanish_token:recibir;spanish_hostin | confianza=90 (ruido=10%)",10,90,Logística,Correos
http://correos-spain.tempurl.host/es/recibir_paquete.php,correos-spain.tempurl.host,15,1,"logistica | correos | Smishing paquete | marca_en_path;spanish_token | score=15, signals=spanish_brand:correos;spanish_token:paquete;spanish_token:recibir;spanish_hostin | confianza=90 (ruido=10%)",10,90,Logística,Correos
http://dinamicaenlineatusucursal.com/verificacion/estado/ingreso/proceso/estimado/sucarsal,dinamicaenlineatusucursal.com,12,1,"banca | generico | Verificación | marca_en_path;spanish_token | score=12, signals=spanish_brand:ing;spanish_token:verificacion;spanish_token:verificacion;brand_an | confianza=90 (ruido=10%)",10,90,Banca,Generico
http://empresasone-b96935.ingress-comporellon.ewp.live/santander/clients/login.php,empresasone-b96935.ingress-comporellon.ewp.live,14,1,"banca | santander | Login | free_hosting;marca_en_path;spanish_token | score=14, signals=spanish_brand:santander;spanish_brand:ing;spanish_token:login;brand_and_spanish_ | confianza=90 (ruido=10%)",10,90,Banca,Santander
http://envios-sinotrans-correos.com/seguimiento/pagomentaes/recibir_paquete.php,envios-sinotrans-correos.com,12,1,"logistica | correos | Pago | marca_en_path;spanish_token | score=12, signals=spanish_brand:correos;spanish_token:pago;spanish_token:envio;spanish_token:paque | confianza=90 (ruido=10%)",10,90,Logística,Correos
