phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,verified_bool,domain,route,domain_norm,target_norm,f_target_in_list,f_brand_in_url,f_spanish_hints,f_locale_es,f_euro_symbol,f_plus34,f_es_tld,es_score,path,route_norm
9166260,https://netflix-pagos.blog,http://www.phishtank.com/phish_detail.php?phish_id=9166260,2025-07-26 21:16:53+00:00,yes,2025-07-26 21:21:54+00:00,yes,Netflix,True,netflix-pagos.blog,/,netflix-pagos.blog,netflix,True,True,False,False,False,False,False,5,,/
9166257,https://facebook-verifyidentity.com,http://www.phishtank.com/phish_detail.php?phish_id=9166257,2025-07-26 21:11:11+00:00,yes,2025-07-26 21:21:54+00:00,yes,Facebook,True,facebook-verifyidentity.com,/,facebook-verifyidentity.com,facebook,True,True,False,False,False,False,False,5,,/
9166258,https://www.facebook-verifyidentity.com,http://www.phishtank.com/phish_detail.php?phish_id=9166258,2025-07-26 21:11:11+00:00,yes,2025-07-26 21:21:54+00:00,yes,Facebook,True,www.facebook-verifyidentity.com,/,www.facebook-verifyidentity.com,facebook,True,True,False,False,False,False,False,5,,/
9166014,https://help-netflix-signup.com,http://www.phishtank.com/phish_detail.php?phish_id=9166014,2025-07-26 06:29:40+00:00,yes,2025-07-26 09:51:46+00:00,yes,Netflix,True,help-netflix-signup.com,/,help-netflix-signup.com,netflix,True,True,False,False,False,False,False,5,,/
9166013,https://help-netflix-signup.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=9166013,2025-07-26 06:29:30+00:00,yes,2025-07-26 09:51:46+00:00,yes,Netflix,True,help-netflix-signup.com,/index.php,help-netflix-signup.com,netflix,True,True,False,False,False,False,False,5,/index.php,/index.php
9165011,https://www.172635-coinbase.com,http://www.phishtank.com/phish_detail.php?phish_id=9165011,2025-07-25 00:56:27+00:00,yes,2025-07-25 01:03:05+00:00,yes,Coinbase,True,www.172635-coinbase.com,/,www.172635-coinbase.com,coinbase,True,True,False,False,False,False,False,5,,/
9165010,https://172635-coinbase.com,http://www.phishtank.com/phish_detail.php?phish_id=9165010,2025-07-25 00:56:26+00:00,yes,2025-07-25 01:03:05+00:00,yes,Coinbase,True,172635-coinbase.com,/,172635-coinbase.com,coinbase,True,True,False,False,False,False,False,5,,/
9162971,https://s102.servername.online/~codes783/wp-content/plugins/elementor/in/ing-it/client/login.php,http://www.phishtank.com/phish_detail.php?phish_id=9162971,2025-07-23 12:14:58+00:00,yes,2025-07-23 12:21:55+00:00,yes,ING Direct,True,s102.servername.online,/~codes783/wp-content/plugins/elementor/in/ing-it/client/login.php,s102.servername.online,ing direct,True,True,False,False,False,False,False,5,/~codes783/wp-content/plugins/elementor/in/ing-it/client/login.php,/~codes783/wp-content/plugins/elementor/in/ing-it/client/login.php
9162779,https://orange-re-regularisation.com,http://www.phishtank.com/phish_detail.php?phish_id=9162779,2025-07-23 06:28:38+00:00,yes,2025-07-23 06:42:09+00:00,yes,Orange,True,orange-re-regularisation.com,/,orange-re-regularisation.com,orange,True,True,False,False,False,False,False,5,,/
9162777,https://orange-re-regularisation.com/pages/index.php,http://www.phishtank.com/phish_detail.php?phish_id=9162777,2025-07-23 06:28:25+00:00,yes,2025-07-23 06:42:09+00:00,yes,Orange,True,orange-re-regularisation.com,/pages/index.php,orange-re-regularisation.com,orange,True,True,False,False,False,False,False,5,/pages/index.php,/pages/index.php
9162530,https://coinbase-com-logn.weebly.com,http://www.phishtank.com/phish_detail.php?phish_id=9162530,2025-07-23 01:03:37+00:00,yes,2025-07-23 01:11:55+00:00,yes,Coinbase,True,coinbase-com-logn.weebly.com,/,coinbase-com-logn.weebly.com,coinbase,True,True,False,False,False,False,False,5,,/
9162398,https://support-netflix-signup.com,http://www.phishtank.com/phish_detail.php?phish_id=9162398,2025-07-22 20:36:47+00:00,yes,2025-07-22 20:42:19+00:00,yes,Netflix,True,support-netflix-signup.com,/,support-netflix-signup.com,netflix,True,True,False,False,False,False,False,5,,/
9162397,https://support-netflix-signup.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=9162397,2025-07-22 20:36:38+00:00,yes,2025-07-22 20:42:19+00:00,yes,Netflix,True,support-netflix-signup.com,/index.php,support-netflix-signup.com,netflix,True,True,False,False,False,False,False,5,/index.php,/index.php
9160709,https://coinbase-37291.com,http://www.phishtank.com/phish_detail.php?phish_id=9160709,2025-07-20 23:57:14+00:00,yes,2025-07-21 00:03:09+00:00,yes,Coinbase,True,coinbase-37291.com,/,coinbase-37291.com,coinbase,True,True,False,False,False,False,False,5,,/
9160699,https://coinbase-dashboard-login.typedream.app,http://www.phishtank.com/phish_detail.php?phish_id=9160699,2025-07-20 23:35:54+00:00,yes,2025-07-20 23:42:17+00:00,yes,Coinbase,True,coinbase-dashboard-login.typedream.app,/,coinbase-dashboard-login.typedream.app,coinbase,True,True,False,False,False,False,False,5,,/
9158159,https://coinbase-wallet-en.typedream.app,http://www.phishtank.com/phish_detail.php?phish_id=9158159,2025-07-17 11:15:24+00:00,yes,2025-07-17 11:22:24+00:00,yes,Coinbase,True,coinbase-wallet-en.typedream.app,/,coinbase-wallet-en.typedream.app,coinbase,True,True,False,False,False,False,False,5,,/
9155382,https://s3.eu-north-1.amazonaws.com/office-renew-3.6.5/index+(1)+(1).html,http://www.phishtank.com/phish_detail.php?phish_id=9155382,2025-07-14 21:47:03+00:00,yes,2025-07-15 02:03:09+00:00,yes,Microsoft,True,s3.eu-north-1.amazonaws.com,/office-renew-3.6.5/index+(1)+(1).html,s3.eu-north-1.amazonaws.com,microsoft,True,True,False,False,False,False,False,5,/office-renew-3.6.5/index+(1)+(1).html,/office-renew-3.6.5/index+(1)+(1).html
