sector,token,peso
banca,verificar,1.5
banca,acceso,1.0
banca,seguridad,1.0
banca,pin,1.0
banca,tarjeta,1.3
banca,token,1.0
banca,cuenta,1.0

logistica,paquete,1.2
logistica,envio,1.2
logistica,aduanas,1.2
logistica,seguimiento,1.0
logistica,recibir,1.0

saas,login,1.0
saas,auth,1.0
saas,portal,0.8
saas,dashboard,0.8
saas,soporte,0.8

publico,sede,1.0
publico,tramite,1.0
publico,cita,1.0
publico,certificado,1.2

cripto,wallet,1.2
cripto,transferencia,1.2
cripto,token,1.0

retail,pedido,1.0
retail,factura,1.0
retail,compra,1.0
retail,devolucion,1.0

energia,factura,1.0
energia,consumo,1.0
energia,contrato,1.0
energia,cliente,1.0

generico,usuario,0.8
generico,portal,0.8
generico,datos,0.8
generico,cuenta,0.8
generico,cliente,0.8
