url,domain,score_total_v2,signals_v2,sector,entidad,inclusion,notas
http://000o8dc.wcomhost.com/www.santanderbanco.es/bancosantander/es/particulares/santander,000o8dc.wcomhost.com,14,spanish_brand:santander;spanish_token:banco;spanish_token:particulares;spanish_marker:.es;brand_and_spanish_token_boost;brand_in_path:santander;brand_global_tld_boost;shortener_spain,,,,
http://044088d.wcomhost.com/www.santanader.es/banco/particulier/santander/santa,044088d.wcomhost.com,13,spanish_brand:santander;spanish_token:banco;spanish_marker:.es;brand_and_spanish_token_boost;brand_in_path:santander;brand_global_tld_boost;shortener_spain,,,,
http://07bdd7c.wcomhost.com/ameliassurance-sms/remboursement/login/loding1.html,07bdd7c.wcomhost.com,14,spanish_brand:ing;spanish_token:login;spanish_token:sms;brand_and_spanish_token_boost;brand_in_path:ing;path_verification_tokens:sms;brand_global_tld_boost;shortener_spain,,,,
http://0c4d4e6.wcomhost.com/banco-santander/particulares/iogin/home/sms_codigo.php,0c4d4e6.wcomhost.com,16,spanish_brand:santander;spanish_token:banco;spanish_token:particulares;spanish_token:codigo;spanish_token:sms;brand_and_spanish_token_boost;brand_in_path:santander;path_verification_tokens:sms;brand_global_tld_boost;shortener_spain,,,,
http://122.114.173.242:30/bancosantander.es/particulares.php,122.114.173.242:30,12,spanish_brand:santander;spanish_token:banco;spanish_token:particulares;spanish_marker:.es;brand_and_spanish_token_boost;brand_in_path:santander;spanish_whitelist_match:bancosantander.es,,,,
http://416363efax-2772-fi1e62ab.info6920.workers.dev/verifiering/aq/sms.txt,416363efax-2772-fi1e62ab.info6920.workers.dev,14,spanish_brand:ing;spanish_token:sms;brand_and_spanish_token_boost;brand_in_path:ing;path_verification_tokens:sms;brand_global_tld_boost;tld_riesgo_alto;foreign_tld_but_es_context,,,,
http://5a4a2018362595621.tempsite.link/shopmet-express/track-nmber/trouver-tracking-number/direct-sop/information-paiement-ship.html,5a4a2018362595621.tempsite.link,12,spanish_brand:ing;spanish_token:forma;brand_and_spanish_token_boost;brand_in_path:ing;path_verification_tokens:forma;tld_riesgo_alto;foreign_tld_but_es_context,,,,
http://65-21-54-185.cprapid.com/trackingau/en/au/index.php?app-token=8eacb96j%20%2073d2h401if5g%20w5p4kg6o%20hzik%20abyj%20ru%20agdglsmomnw2atp31f9s8x%207f%20bec21470063067,65-21-54-185.cprapid.com,12,spanish_brand:ing;spanish_token:token;spanish_hosting:cprapid.com;brand_and_spanish_token_boost;brand_in_path:ing;brand_global_tld_boost;suspicious_host;ing_false_positive;ing_path_exception,,,,
http://adidhldeutsh-crtise2091-ae961f.ingress-baronn.easywp.com/ijf87vpm4d0q9ep5rv4lr0hof3rvwn/sdlieoa8c2zpb794zjx8izjqp1442zvll0t8/qyld2c5fvsmsgalur821,adidhldeutsh-crtise2091-ae961f.ingress-baronn.easywp.com,12,spanish_brand:ing;spanish_brand:dhl;spanish_token:sms;brand_and_spanish_token_boost;path_verification_tokens:sms;brand_in_subdomain;brand_global_tld_boost,,,,
http://alertanotificacionesdinamicos.com/verificacion/estado/ingreso/proceso/estimado/sucarsal/index.php,alertanotificacionesdinamicos.com,14,spanish_brand:ing;spanish_token:verificacion;spanish_token:notificacion;spanish_token:notificaciones;spanish_token:verificacion;brand_and_spanish_token_boost;brand_in_path:ing;path_verification_tokens:verificacion;brand_global_tld_boost,,,,
http://arstmping002.web.app,arstmping002.web.app,14,spanish_brand:ing;spanish_token:pin;spanish_hosting:web.app;brand_and_spanish_token_boost;brand_in_subdomain;brand_global_tld_boost;tld_riesgo_alto;foreign_tld_but_es_context,,,,
http://bbvaspaing.temp.swtest.ru/bbva21/bbva/area_cliente/smsconfirmacion.html,bbvaspaing.temp.swtest.ru,13,spanish_brand:bbva;spanish_brand:ing;spanish_token:cliente;spanish_token:confirmacion;spanish_token:sms;spanish_token:firma;brand_and_spanish_token_boost;path_verification_tokens:sms;brand_in_subdomain,,,,
http://beerrest.com/fnb-fica-registration-fnb-online-banking-paid/onlinebanking-atmandpin.htm,beerrest.com,12,spanish_brand:ing;spanish_token:pin;brand_and_spanish_token_boost;brand_in_path:ing;path_verification_tokens:pin;brand_global_tld_boost;shortener_spain;english_term_in_path,,,,
http://bingo3-0.pages.dev/login.srf?wa=wsignin1.0&rpsnv=155&id=298156&wreply=https:/copilot.microsoft.com/secure/passport.aspx?edge_suppress_profile_switch=1&requrl=https:/copilot.microsoft.com/&sig=27c3a32050ff6b0a3bf0b79e51c76ac6&nopa=2&wp=mbi_ssl&lc=1033&csrftoken=feafd3e7-774f-447b-9c97-965b7fac536a&aadredir=1&nopa=2,bingo3-0.pages.dev,15,spanish_brand:ing;spanish_token:login;spanish_token:token;spanish_hosting:pages.dev;brand_and_spanish_token_boost;brand_in_subdomain;brand_global_tld_boost;tld_riesgo_alto;foreign_tld_but_es_context;ing_false_positive;ing_path_exception,,,,
http://bmo-access-update-kexisih260895620.codeanyapp.com/xx/log/bill876372sg/singtel-mobile/c5600b485bd52866431cd69ec201b33b/smserror.php,bmo-access-update-kexisih260895620.codeanyapp.com,13,spanish_brand:ing;spanish_token:sms;spanish_hosting:codeanyapp.com;brand_and_spanish_token_boost;brand_in_path:ing;path_verification_tokens:sms;brand_global_tld_boost;suspicious_host;english_term_in_path;ing_false_positive;ing_path_exception,,,,
http://copyrightenforcementstopinfringement.vercel.app/comitment&id=y29tbwvuddozotc.html,copyrightenforcementstopinfringement.vercel.app,12,spanish_brand:ing;spanish_token:pin;brand_and_spanish_token_boost;brand_in_subdomain;brand_global_tld_boost;tld_riesgo_alto;foreign_tld_but_es_context;ing_false_positive;ing_path_exception,,,,
http://correos.es-es-es-herramientas-localizador-envios.u962745a2w.ha005.t.justns.ru/71da2eb1bb4778f/sms/index.html,correos.es-es-es-herramientas-localizador-envios.u962745a2w.ha005.t.justns.ru,14,spanish_brand:correos;spanish_token:envio;spanish_token:sms;spanish_marker:.es;brand_and_spanish_token_boost;path_verification_tokens:sms;brand_in_subdomain;spanish_whitelist_match:correos.es,,,,
